tag_id,rel_site,rel_dt,length,weight
989.001039768826,L,5/23/2021 14:25,76,5.4
989.001039768796,L,5/23/2021 14:25,88,7.3
989.001039768731,L,5/23/2021 14:25,77,5.3
989.001039769341,L,5/23/2021 14:25,77,5.2
989.001039769327,L,5/23/2021 14:25,79,5.8
989.001039769351,L,5/23/2021 14:25,78,5.2
989.001039767634,L,5/23/2021 14:25,76,4.7
989.001039769459,L,5/23/2021 14:25,80,6
989.001039767738,L,5/23/2021 14:25,78,5.2
989.001039767593,L,5/23/2021 14:25,77,5.5
989.001039768653,L,5/23/2021 14:25,82,6.7
989.001039769292,L,5/23/2021 14:25,73,4.6
989.001039768609,L,5/23/2021 14:25,87,7.1
989.001039768798,L,5/23/2021 14:25,73,4.8
989.001039769328,L,5/23/2021 14:25,80,6.1
989.001039769253,L,5/23/2021 14:25,69,3.9
989.001039768855,L,5/23/2021 14:25,78,5.3
989.001039768764,L,5/23/2021 14:25,75,5
989.001039768667,L,5/23/2021 14:25,77,5.9
989.001039768804,L,5/23/2021 14:25,77,6
989.001039768763,L,5/23/2021 14:25,78,5.4
989.001039769287,L,5/23/2021 14:25,79,6.1
989.001039768818,L,5/23/2021 14:25,84,6.7
989.001039768785,L,5/23/2021 14:25,75,5.4
989.001039768837,L,5/23/2021 14:25,79,5.3
989.001039769303,L,5/23/2021 14:25,83,6.9
989.001039768822,L,5/23/2021 14:25,73,4.9
989.001039769276,L,5/23/2021 14:25,87,7.1
989.001039769387,L,5/23/2021 14:25,78,5.5
989.001039768753,L,5/23/2021 14:25,82,5.9
989.001039768840,L,5/23/2021 14:25,76,5.3
989.001039769371,L,5/23/2021 14:25,77,5.1
989.001039769210,L,5/23/2021 14:25,84,6.2
989.001039769247,L,5/23/2021 14:25,77,5.3
989.001039768829,L,5/23/2021 14:25,75,5.1
989.001039768144,L,5/23/2021 14:25,86,6.4
989.001039768231,L,5/23/2021 14:25,85,6.2
989.001039768984,L,5/23/2021 14:25,86,7
989.001039768115,L,5/23/2021 14:25,80,5.8
989.001039767944,L,5/23/2021 14:25,78,5.1
989.001039767792,L,5/23/2021 14:25,75,5
989.001039768966,L,5/23/2021 14:25,79,5.1
989.001039768124,L,5/23/2021 14:25,84,6.4
989.001039769416,L,5/23/2021 14:25,80,5.8
989.001039769031,L,5/23/2021 14:25,89,8.1
989.001039768180,L,5/23/2021 14:25,83,6.5
989.001039768920,L,5/23/2021 14:25,80,5.4
989.001039769066,L,5/23/2021 14:25,80,5.6
989.001039768181,L,5/23/2021 14:25,86,6.8
989.001039769006,L,5/23/2021 14:25,84,6.3
989.001039768261,L,5/23/2021 14:25,79,5.7
989.001039768103,L,5/23/2021 14:25,79,5.9
989.001039769079,L,5/23/2021 14:25,79,5.6
989.001039767893,L,5/23/2021 14:25,79,5.6
989.001039767663,L,5/23/2021 14:25,84,7.1
989.001039768097,L,5/23/2021 14:25,85,6.7
989.001039768254,L,5/23/2021 14:25,79,5.3
989.001039768561,L,5/23/2021 14:25,72,4.1
989.001039768698,L,5/23/2021 14:25,78,5.3
989.001039769158,L,5/23/2021 14:25,87,7.3
989.001039767863,L,5/23/2021 14:25,82,5.7
989.001039768935,L,5/23/2021 14:25,77,4.4
989.001039768511,L,5/23/2021 14:25,80,5.5
989.001039768571,L,5/23/2021 14:25,82,6
989.001039767942,L,5/23/2021 14:25,85,6.4
989.001039767912,L,5/23/2021 14:25,82,6.4
989.001039768435,L,5/23/2021 14:25,82,6
989.001039767818,L,5/23/2021 14:25,74,4.7
989.001039768432,L,5/23/2021 14:25,86,7.1
989.001039767676,L,5/23/2021 14:25,85,7.4
989.001039769074,L,5/23/2021 14:25,82,6.7
989.001039767866,L,5/23/2021 14:25,87,7.8
989.001039768413,L,5/23/2021 14:25,89,8.2
989.001039768756,L,5/23/2021 14:25,77,5
989.001039768202,L,5/23/2021 14:25,84,7.6
NA,L,5/23/2021 14:25,84,5.2
989.001039768168,L,5/23/2021 14:25,80,5.9
989.001039768178,L,5/23/2021 14:25,77,4.8
989.001039768396,L,5/23/2021 14:25,78,5.1
989.001039768651,L,5/23/2021 14:25,85,7.1
989.001039768125,L,5/23/2021 14:25,80,5.4
989.001039769114,L,5/23/2021 14:25,87,7.6
989.001039769041,L,5/23/2021 14:25,80,5.1
989.001039769283,L,5/23/2021 14:25,80,5.5
