year,month,day,total_rain
2021,10,9,51.6
2021,10,10,0
2021,10,11,0.8
2021,10,12,26.8
2021,10,13,7.3
2021,10,14,57.4
2021,10,15,64.6
2021,10,16,49.4
2021,10,17,0
2021,10,18,0
2021,10,19,8.4
2021,10,20,8.6
2021,10,21,59.4
2021,10,22,28
2021,10,23,10.4
2021,10,24,55.2
2021,10,25,10.6
2021,10,26,18.4
2021,10,27,14.6
2021,10,28,0.4
2021,10,29,0
2021,10,30,0
2021,10,31,0
2021,11,1,10.6
2021,11,2,169.6
2021,11,3,60.4
2021,11,4,53.2
2021,11,5,37.4
2021,11,6,17
2021,11,7,18.6
2021,11,8,25
2021,11,9,6.2
2021,11,10,3.6
2021,11,11,32.2
2021,11,12,0.4
2021,11,13,66.6
2021,11,14,36.6
2021,11,15,5
2021,11,16,0
2021,11,17,6
2021,11,18,7.4
2021,11,19,0.8
2021,11,20,0.8
2021,11,21,12.6
2021,11,22,8.6
2021,11,23,2.6
2021,11,24,122.4
2021,11,25,96.4
2021,11,26,16.4
2021,11,27,111.8
2021,11,28,14.2
2021,11,29,56.4
2021,11,30,101.4
2021,12,1,4.6
2021,12,2,0
2021,12,3,1.4
2021,12,4,0
2021,12,5,8.4
2021,12,6,0.6
2021,12,7,11
2021,12,8,8.6
2021,12,9,1.8
2021,12,10,39.4
2021,12,11,7.4
2021,12,12,14.2
2021,12,13,17.4
2021,12,14,30.2
2021,12,15,6
2021,12,16,0.4
2021,12,17,54
2021,12,18,6
2021,12,19,0.2
2021,12,20,1
2021,12,21,22.4
2021,12,22,9.6
2021,12,23,17.6
2021,12,24,5.6
2021,12,25,0
2021,12,26,0
2021,12,27,0
2021,12,28,0
2021,12,29,0
2021,12,30,1.8
2021,12,31,0
